title,category
마우스가 이럴 수 있다고? [ 구름클릭 ] 진짜 가볍고 편하네!,테크·가전
특허 받은 미생물은 확실히 달라요ㅣ전문 기업의 30만원대 음식물 처리기,테크·가전
휴대용 무선 고압세척기 카쉬! 언제 어디서든 나만의 세차장 완성!,테크·가전
[9900원~] 삼십육개 드라이버 툴만 있으면 나도 맥가이버! 한정수량!,테크·가전
[뉴트로 스마트폰] 뺄껀 빼고 필요한것만 넣었다! 디지털 디톡스 비너제로,테크·가전
"무선+삼성OLED | 압도적 기술력,압도적 효율! 선넘은 디스플레이 등장",테크·가전
25년 음향 전문가의 노하우를 집대성한 9만원대 블루투스 진공관 사운드바,테크·가전
무선스마트북ㅣ단점이 없다? 듀얼 모니터/노트북/태블릿을 하나로 합쳤습니다,테크·가전
너무 귀여워서 기절! 소리까지 짱짱한 핑구 블루투스 스피커 I 3만원대,테크·가전
[4.7점/17994% 앵콜] 3초면 정리 끝! 안전한 돔형 코털 제거기,테크·가전
[이어폰에서 완전 해방] 글로벌 평점 4.5ㅣ제대로 만든 사운드 선글라스,테크·가전
"[앵콜] 3만원 대로 가격도 날리고,수염까지 모두 날렸다ㅣ샤오미 수카스",테크·가전
[1억펀딩 브랜드] 아웃도어 에어컨으로 덥고 찝찝한 캠핑은 이제 그만!,테크·가전
건조한 에어컨은 이제 그만! 시원하게 촉촉하게 자신있게!,테크·가전
"10초 매직<핸디 쿨&핫>으로 땀 뻘뻘 여름, 시원하게 이겨내자!",테크·가전
"누가 찍어도 전문가의 3D모델링, 빠르고 정밀한 3D스캐너 'POP 2'",테크·가전
압도적인 분위기 연출력의 스마트 컬러조명 Mudix (무딕스),테크·가전
9단계 풍량조절과 3단 높이조절의 장스탠드 조명 선풍기,테크·가전
[도어락끝판왕] 손잡이 구동 없이 문을 연다고? 키인L 4세대 스마트락,테크·가전
"[16000% 펀딩] 공기 중 세균을 추적, 파괴하는 바이플라",테크·가전
20년 비데 전문제조사 VOVO의 필터가 필요 없는 무선 갓성비 비데,테크·가전
[1.3억펀딩/평점5점] 장인의 손맛 -복부 관리&라인 관리 한번에!,테크·가전
"필립스 무설치 정수기ㅣ커피,차,라면,분유까지? 온도,양 조절이 자유자재!",테크·가전
4 in1 유인+흡입+감전+무드조명 해충퇴치기,테크·가전
[99.99% 살균 인증] 특허받은 2WAY 방식 공기살균기 쉴드,테크·가전
[NUPHY] AIR75 기계식 키보드 핑크 & 민트 리미티드 에디션,테크·가전
"[4.7점]완벽한 성능, 새로운 컬러로 돌아온 테이블 스피커 Mellow",테크·가전
1O만원대 수납 가능 안마의자 ㅣ3D 에어셀로 마사지샵 온 기분,테크·가전
전문 방송인의 고퀄리티 방송? 10만원 선에서 어디서든 가능!,테크·가전
불편하게 핸드폰 하지 마세요! 3in1 카드지갑/그립/거치대ㅣ허큘리스프로,테크·가전
"[3236%달성 앵콜] 평점4.9! 또 하나의 손, 메보게 핸드폰거치대",테크·가전
"급이 다른 세차, 묵은 때 청소까지? 닦을 맛 제대로 나는 휴대세차기",테크·가전
[세상편한1초거치] 모든 폰을 착착착! 차량용 무선충전 거치대 핸디슬랩,테크·가전
[글로벌 2.5억 LED조명] 조명 하나 바꿨는데 몰입도가 확 달라졌어요,테크·가전
[딱! 80대 한정] 99.9% 추적살균시스템으로 현관 입구컷ㅣ공기살균기,테크·가전
[최대 24시간 무선 사용] 3D입체회전/12엽 유무선 리모컨선풍기,테크·가전
[2만원대 초반 초특가] 'APIYOO 휴대용 미니 면도기' 최초 공개,테크·가전
[2억달성앵콜]홈세라 미니건조기 에어로데이지 건조 살균 탈취 스타일러까지,테크·가전
[하이엔드 레트로] 파인데이 키보드 2.0 적축,테크·가전
"[12세대 CPU 일체형 PC] 역대급 스펙의 정체, HP가 해냈습니다!",테크·가전
"찜질방 왜가? 원적외선 찜질기+온열이불+온열매트 다 되는 휴대용 ""찜낭""",테크·가전
특별한날 연인과 함께하는 신개념 홈테라피 : 럭셔리 핫스톤 스파 S1,테크·가전
디자인부터 다르다! 공기 중 세균 99.9% 분해 초강력 공기살균기,테크·가전
[완벽시간관리] 1분1초 소중하게! 쉬운 조작법 홈트/공부 순공타이머이지,테크·가전
세밀한 추출로 격이 다른 캡슐 커피의 맛ㅣ하이엔드 캡슐머신 모닝,테크·가전
[한시간에 5cm 출력괴물]모공까지 출력되는 미친퀄리티 3D프린터,테크·가전
회전 가능! 휴대용 애플 펜슬 & 펜 스탠드!,테크·가전
[꼬마 소방관]나의 안전에 '쁠랙스'하는 날.양치기 화재감지기 이제 그만,테크·가전
[TS3각인기]나만의 레이저공방 컷팅/각인/마킹을 한번에 10W 괴물스펙,테크·가전
좁은 주방 야외 캠핑에서도 설거지 살균까지 다용도 초음파세척기,테크·가전
"""진짜 불멍"" 캠핑 감성 [라르츠 불멍 블루투스 스피커] 최초 공개!!",테크·가전
진짜가 돌아왔다!!12종 풀세트 달인파워툴 오리지널!!앵콜요청!!,테크·가전
"필터교체 없이 세척만으로 평생 쓰는 휴대용 살균 공기청정기, 에어독 미니",테크·가전
"4만원대로 만나는 나만의 구강 관리사 ""비하트 음파 전동 칫솔 W1""",테크·가전
"AluDisc™: 4가지 타입, 저스트모바일 신개념 거치대",테크·가전
우리가족 안전 그린라이트! 99.999% 공간 살균조명 '테라피 365',테크·가전
